finyear,state_code,state_name,district_code,district_name,onboard_egspi,pv_initiated,pv_approved,year_closed
2020-2021,9,uttar pradesh,166,mainpuri,549,9468,8066,548
2020-2021,9,uttar pradesh,167,mathura,504,4100,3808,504
2020-2021,9,uttar pradesh,168,mau,670,5323,4518,669
2020-2021,9,uttar pradesh,169,meerut,479,6958,6379,479
2020-2021,9,uttar pradesh,170,mirzapur,809,15053,13586,809
2020-2021,9,uttar pradesh,171,moradabad,646,13588,12473,643
2020-2021,9,uttar pradesh,172,muzaffarnagar,498,16135,15240,498
2020-2021,9,uttar pradesh,173,pilibhit,720,18751,15800,718
2020-2021,9,uttar pradesh,174,pratapgarh,1203,12094,10562,1206
2020-2021,9,uttar pradesh,175,rae bareli,989,28806,26590,988
2020-2021,9,uttar pradesh,176,rampur,681,11088,9758,682
2020-2021,9,uttar pradesh,177,saharanpur,884,13553,12088,883
2020-2021,9,uttar pradesh,178,sant kabeer nagar,761,4958,3940,754
2020-2021,9,uttar pradesh,179,bhadohi,562,10272,8752,558
2020-2021,9,uttar pradesh,180,shahjahanpur,1073,18690,16980,1069
2020-2021,9,uttar pradesh,181,shravasti,397,7151,6315,396
2020-2021,9,uttar pradesh,182,siddharth nagar,1157,17671,15749,1135
2020-2021,9,uttar pradesh,183,sitapur,1601,21827,19340,1599
2020-2021,9,uttar pradesh,184,sonbhadra,629,8040,6557,629
2020-2021,9,uttar pradesh,185,sultanpur,983,12956,11849,980
2020-2021,9,uttar pradesh,186,unnao,1043,13395,11280,1043
2020-2021,9,uttar pradesh,187,varanasi,706,9725,8587,694
2020-2021,9,uttar pradesh,633,kasganj,423,10207,8791,423
2020-2021,9,uttar pradesh,640,amethi,682,13755,12285,682
2020-2021,9,uttar pradesh,659,sambhal,670,12205,10674,668
2020-2021,9,uttar pradesh,660,shamli,230,5439,4674,230
2020-2021,9,uttar pradesh,661,hapur,273,3933,3191,273
2020-2021,28,andhra pradesh,502,anantapur,0,0,0,633
2020-2021,28,andhra pradesh,503,chittoor,1,0,0,1137
2020-2021,28,andhra pradesh,504,y.s.r.,0,0,0,705
2020-2021,28,andhra pradesh,505,east godavari,0,0,0,1063
2020-2021,28,andhra pradesh,506,guntur,4,0,0,776
2020-2021,28,andhra pradesh,510,krishna,0,0,0,756
2020-2021,28,andhra pradesh,511,kurnool,0,0,0,544
2020-2021,28,andhra pradesh,515,spsr nellore,0,0,0,864
2020-2021,28,andhra pradesh,517,prakasam,0,0,0,977
2020-2021,28,andhra pradesh,519,srikakulam,0,0,0,905
2020-2021,28,andhra pradesh,520,visakhapatanam,0,0,0,856
2020-2021,28,andhra pradesh,521,vizianagaram,0,0,0,895
2020-2021,28,andhra pradesh,523,west godavari,3,0,0,637
