S.NO,SECTION,DV,m2,PP,BEEE,FL,FIMS,TOTAL,Total,Percentage,Grade
279.0,EPSILON,17.0,8.0,11.0,15.0,15.0,12.0,1078.0,78.0,65.0,D
280.0,EPSILON,15.0,4.0,14.0,20.0,19.0,16.0,1146.6666666666667,88.0,73.33333333333333,C
281.0,EPSILON,15.0,3.0,10.0,11.0,13.0,11.0,982.0,63.0,52.5,F
282.0,EPSILON,11.0,6.0,8.0,14.0,12.0,15.0,1004.0,66.0,55.00000000000001,F
283.0,EPSILON,17.0,14.0,8.0,20.0,17.0,16.0,1179.3333333333333,92.0,76.66666666666667,C
284.0,EPSILON,17.0,11.0,10.0,17.0,19.0,15.0,1161.3333333333333,89.0,74.16666666666667,C
285.0,EPSILON,16.0,1.0,6.0,12.0,8.0,8.0,910.0,51.0,42.5,F
286.0,EPSILON,18.0,15.0,13.0,16.0,19.0,16.0,1218.6666666666667,97.0,80.83333333333333,B
287.0,EPSILON,17.0,8.0,14.0,17.0,20.0,16.0,1187.3333333333333,92.0,76.66666666666667,C
288.0,EPSILON,15.0,4.0,4.0,13.0,16.0,13.0,1009.3333333333331,65.0,54.16666666666666,F
289.0,EPSILON,19.0,3.0,12.0,15.0,20.0,13.0,1124.6666666666667,82.0,68.33333333333333,D
290.0,EPSILON,14.0,0.0,5.0,11.0,8.0,11.0,906.6666666666666,49.0,40.833333333333336,F
291.0,EPSILON,17.0,4.0,5.0,9.0,12.0,14.0,988.6666666666669,61.0,50.83333333333333,F
292.0,EPSILON,18.0,10.0,11.0,18.0,20.0,14.0,1190.6666666666667,91.0,75.83333333333333,C
293.0,EPSILON,17.0,0.0,8.0,17.0,11.0,14.0,1032.6666666666667,67.0,55.833333333333336,F
294.0,EPSILON,14.0,9.0,7.0,14.0,16.0,16.0,1094.6666666666667,76.0,63.33333333333333,D
295.0,EPSILON,12.0,2.0,6.0,6.0,6.0,11.0,876.6666666666666,43.0,35.833333333333336,F
296.0,EPSILON,19.0,18.0,12.0,20.0,20.0,19.0,1312.0,108.0,90.0,A
297.0,EPSILON,17.0,12.0,15.0,20.0,20.0,19.0,1280.6666666666667,103.0,85.83333333333333,B
298.0,EPSILON,14.0,3.0,5.0,8.0,13.0,6.0,922.6666666666666,49.0,40.833333333333336,F
299.0,EPSILON,11.0,4.0,5.0,16.0,15.0,13.0,1024.6666666666667,64.0,53.333333333333336,F
300.0,EPSILON,17.0,11.0,12.0,19.0,20.0,17.0,1240.0,96.0,80.0,B
301.0,EPSILON,17.0,3.0,13.0,15.0,12.0,12.0,1082.0,72.0,60.0,D
302.0,EPSILON,17.0,9.0,10.0,14.0,14.0,9.0,1090.6666666666667,73.0,60.83333333333333,D
303.0,EPSILON,19.0,12.0,12.0,20.0,20.0,19.0,1286.0,102.0,85.0,B
304.0,EPSILON,18.0,8.0,9.0,19.0,19.0,13.0,1181.3333333333333,86.0,71.66666666666667,C
305.0,EPSILON,17.0,4.0,10.0,11.0,10.0,11.0,1030.0,63.0,52.5,F
306.0,EPSILON,16.0,16.0,12.0,19.0,9.0,13.0,1178.6666666666667,85.0,70.83333333333334,C
307.0,EPSILON,16.0,16.0,15.0,20.0,20.0,16.0,1300.6666666666667,103.0,85.83333333333333,B
308.0,EPSILON,18.0,20.0,16.0,20.0,20.0,19.0,1369.3333333333337,113.0,94.16666666666669,A
309.0,EPSILON,17.0,13.0,16.0,15.0,14.0,11.0,1191.3333333333333,86.0,71.66666666666667,C
310.0,EPSILON,16.0,18.0,16.0,20.0,19.0,8.0,1266.6666666666667,97.0,80.83333333333333,B
311.0,EPSILON,17.0,4.0,11.0,17.0,17.0,18.0,1182.0,84.0,70.0,C
312.0,EPSILON,13.0,4.0,5.0,11.0,16.0,14.0,1044.0,63.0,52.5,F
313.0,EPSILON,10.0,3.0,6.0,7.0,11.0,8.0,926.0,45.0,37.5,F
314.0,EPSILON,15.0,3.0,6.0,7.0,16.0,8.0,994.6666666666669,55.0,45.83333333333333,F
315.0,EPSILON,15.0,3.0,13.0,11.0,14.0,1.0,1010.0,57.0,47.5,F
316.0,EPSILON,18.0,13.0,15.0,17.0,19.0,16.0,1285.3333333333333,98.0,81.66666666666667,B
317.0,EPSILON,13.0,1.0,2.0,9.0,14.0,12.0,974.0,51.0,42.5,F
318.0,EPSILON,14.0,11.0,10.0,20.0,14.0,17.0,1209.3333333333333,86.0,71.66666666666667,C
319.0,EPSILON,12.0,8.0,2.0,12.0,16.0,3.0,991.3333333333331,53.0,44.16666666666666,F
320.0,EPSILON,17.0,8.0,9.0,15.0,12.0,8.0,1100.0,69.0,57.49999999999999,F
321.0,EPSILON,18.0,15.0,13.0,19.0,20.0,18.0,1328.6666666666667,103.0,85.83333333333333,B
322.0,EPSILON,17.0,9.0,11.0,18.0,19.0,18.0,1257.3333333333333,92.0,76.66666666666667,C
323.0,EPSILON,18.0,0.0,3.0,8.0,17.0,3.0,972.6666666666666,49.0,40.833333333333336,F
324.0,EPSILON,17.0,4.0,6.0,17.0,15.0,11.0,1114.6666666666667,70.0,58.333333333333336,F
325.0,EPSILON,15.0,0.0,5.0,15.0,13.0,13.0,1056.6666666666667,61.0,50.83333333333333,F
326.0,EPSILON,15.0,6.0,9.0,14.0,12.0,16.0,1132.0,72.0,60.0,D
327.0,EPSILON,18.0,8.0,7.0,17.0,20.0,11.0,1194.0,81.0,67.5,D
328.0,EPSILON,16.0,11.0,11.0,19.0,15.0,13.0,1222.6666666666667,85.0,70.83333333333334,C
329.0,EPSILON,13.0,8.0,9.0,18.0,20.0,13.0,1198.0,81.0,67.5,D
330.0,EPSILON,16.0,3.0,11.0,17.0,12.0,15.0,1153.3333333333333,74.0,61.66666666666667,D
331.0,EPSILON,18.0,4.0,9.0,10.0,20.0,15.0,1168.6666666666667,76.0,63.33333333333333,D
332.0,EPSILON,17.0,19.0,16.0,20.0,20.0,18.0,1397.3333333333333,110.0,91.66666666666666,A
333.0,EPSILON,15.0,1.0,2.0,7.0,10.0,2.0,912.6666666666666,37.0,30.833333333333336,F
334.0,EPSILON,17.0,1.0,3.0,3.0,11.0,12.0,981.3333333333331,47.0,39.16666666666666,F
335.0,EPSILON,19.0,2.0,6.0,20.0,17.0,13.0,1183.3333333333333,77.0,64.16666666666667,D
336.0,EPSILON,19.0,6.0,8.0,20.0,18.0,15.0,1245.3333333333333,86.0,71.66666666666667,C
337.0,EPSILON,0.0,0.0,0.0,0.0,0.0,0.0,674.0,0.0,0.0,F
338.0,EPSILON,5.0,0.0,3.0,11.0,7.0,10.0,916.0,36.0,30.0,F
339.0,EPSILON,16.0,3.0,7.0,16.0,20.0,16.0,1198.0,78.0,65.0,D
340.0,EPSILON,17.0,20.0,14.0,20.0,20.0,16.0,1393.3333333333333,107.0,89.16666666666667,B
341.0,EPSILON,15.0,5.0,6.0,14.0,15.0,8.0,1102.0,63.0,52.5,F
342.0,EPSILON,16.0,4.0,12.0,17.0,15.0,11.0,1184.0,75.0,62.5,D
343.0,EPSILON,17.0,3.0,3.0,9.0,16.0,4.0,1032.6666666666667,52.0,43.333333333333336,F
344.0,EPSILON,12.0,1.0,3.0,10.0,16.0,6.0,1008.0,48.0,40.0,F
345.0,EPSILON,19.0,1.0,8.0,19.0,18.0,13.0,1210.0,78.0,65.0,D
346.0,EPSILON,6.0,0.0,1.0,11.0,9.0,4.0,898.6666666666666,31.0,25.833333333333336,F
